دانشكده درس 	دانشكده درس 	گروه آموزشي 	گروه آموزشي 	شماره و گروه درس	نام درس	کل	ع	ظر فيت	ثبت نام شده	تعداد ليست انتظار	جنسيت	نام استاد	زمان و مكان ارائه/ امتحان	توضيحات	امكان اخذ درس توسط ساير مراكز	حذف اضطراري
14	فني و مهندسي	11	برق	1411006_01	آمار و احتمال مهندسي	3	0	32	31	0	مختلط	خوارزمي اميد<BR>	درس(ت): شنبه 15:30-17:30 مکان: 232 فني و مهندسي<BR> درس(ت): دوشنبه 15:30-16:30 مکان: 232 فني و مهندسي<BR> حل تمرين(ت): دوشنبه 16:30-17:30 مکان: 232 فني و مهندسي<BR> امتحان(1404.10.18) ساعت : 14:00-16:00<BR> 		-	امكان دارد
14	فني و مهندسي	11	برق	1411011_01	كارگاه عمومي	1	1	16	16	0	مختلط	نظريان مهدي رضا<BR>	درس(ع): سه شنبه 10:00-12:00 مکان: كارگاه جوشكاري و ورق كاري جنب بازرچه<BR> 		-	امكان ندارد
14	فني و مهندسي	11	برق	1411011_02	كارگاه عمومي	1	1	16	16	0	مختلط	نظريان مهدي رضا<BR>	درس(ع): سه شنبه 13:30-15:30 مکان: كارگاه جوشكاري و ورق كاري جنب بازرچه<BR> 		-	امكان ندارد
14	فني و مهندسي	11	برق	1411011_03	كارگاه عمومي	1	1	16	16	0	مختلط	نظريان مهدي رضا<BR>	درس(ع): چهارشنبه 10:00-12:00 مکان: كارگاه جوشكاري و ورق كاري جنب بازرچه<BR> 		-	امكان ندارد
14	فني و مهندسي	11	برق	1411011_04	كارگاه عمومي	1	1	18	14	0	مختلط	نظريان مهدي رضا<BR>	درس(ع): چهارشنبه 13:30-15:30 مکان: كارگاه جوشكاري و ورق كاري جنب بازرچه<BR> 		-	امكان ندارد
14	فني و مهندسي	11	برق	1411012_01	كاربيني(آشنايي با مهندسي برق)	1	0	60	61	0	مختلط	قيومي زاده حسين<BR>	درس(ت): دوشنبه 08:00-10:00 مکان: ك201فني<BR> امتحان(1404.10.22) ساعت : 08:00-10:00<BR> 		-	امكان دارد
14	فني و مهندسي	11	برق	1411014_01	زبان تخصصي برق	2	0	48	48	0	مختلط	خليل زاده معصومه<BR>	درس(ت): سه شنبه 13:30-15:30 مکان: ك201فني<BR> امتحان(1404.11.01) ساعت : 10:30-12:30<BR> 		-	امكان دارد
14	فني و مهندسي	11	برق	1411014_02	زبان تخصصي برق	2	0	50	50	0	مختلط	خليل زاده معصومه<BR>	درس(ت): سه شنبه 15:30-17:30 مکان: ك201فني<BR> امتحان(1404.11.01) ساعت : 10:30-12:30<BR> 		-	امكان دارد
14	فني و مهندسي	11	برق	1411016_01	رياضي مهندسي	3	0	50	47	0	مختلط	مهديان پرراني احمد<BR>	درس(ت): شنبه 10:00-12:00 مکان: ك201فني<BR> درس(ت): دوشنبه 13:30-14:30 مکان: ك201فني<BR> حل تمرين(ت): دوشنبه 14:30-15:30 مکان: ك201فني<BR> امتحان(1404.10.22) ساعت : 08:00-10:00<BR> 		-	امكان دارد
14	فني و مهندسي	11	برق	1411017_01	مدارهاي الكتريكي 1	3	0	35	36	0	مختلط	قيومي زاده حسين<BR>	درس(ت): يك شنبه 10:00-12:00 مکان: ك201فني<BR> درس(ت): سه شنبه 10:00-11:00 مکان: ك201فني<BR> حل تمرين(ت): سه شنبه 11:00-12:00 مکان: ك201فني<BR> امتحان(1404.10.20) ساعت : 14:00-16:00<BR> 		-	امكان دارد
